iter	Passed	Remaining
425	2058	2773
426	2063	2769
427	2068	2764
428	2072	2759
429	2077	2753
430	2081	2747
431	2085	2742
432	2090	2736
433	2094	2732
434	2099	2726
435	2104	2721
436	2108	2716
437	2113	2711
438	2118	2707
439	2123	2702
440	2127	2696
441	2131	2690
442	2135	2685
443	2140	2680
444	2145	2675
445	2149	2669
446	2153	2664
447	2158	2659
448	2163	2655
449	2168	2649
450	2172	2644
451	2176	2639
452	2181	2633
453	2185	2628
454	2190	2623
455	2194	2618
456	2199	2613
457	2203	2607
458	2207	2602
459	2212	2596
460	2216	2591
461	2220	2586
462	2225	2581
463	2234	2581
464	2242	2580
465	2251	2580
466	2260	2580
467	2266	2576
468	2271	2571
469	2276	2566
470	2281	2562
471	2287	2558
472	2291	2553
473	2297	2549
474	2302	2544
475	2306	2539
476	2312	2535
477	2317	2530
478	2323	2526
479	2330	2524
480	2335	2519
481	2340	2515
482	2347	2512
483	2351	2507
484	2357	2503
485	2362	2498
486	2367	2493
487	2372	2489
488	2377	2484
489	2382	2480
490	2387	2475
491	2392	2470
492	2397	2465
493	2402	2461
494	2407	2456
495	2413	2452
496	2418	2447
497	2422	2442
498	2427	2437
499	2431	2431
500	2436	2426
501	2440	2421
502	2445	2415
503	2449	2410
504	2453	2404
505	2457	2399
506	2462	2394
507	2466	2389
508	2471	2383
509	2475	2378
510	2480	2373
511	2484	2367
512	2488	2362
513	2492	2357
514	2497	2351
515	2501	2345
516	2505	2340
517	2509	2335
518	2514	2330
519	2518	2324
520	2522	2319
521	2527	2314
522	2531	2308
523	2536	2304
524	2541	2299
525	2545	2293
526	2550	2288
527	2554	2283
528	2558	2277
529	2562	2272
530	2567	2267
531	2571	2262
532	2575	2256
533	2579	2251
534	2584	2246
535	2589	2241
536	2593	2236
537	2598	2231
538	2602	2225
539	2606	2220
540	2610	2215
541	2614	2209
542	2619	2204
543	2623	2198
544	2627	2193
545	2632	2188
546	2636	2183
547	2640	2178
548	2645	2172
549	2649	2167
550	2653	2162
551	2657	2156
552	2661	2151
553	2666	2146
554	2670	2141
555	2674	2136
556	2679	2130
557	2683	2125
558	2687	2120
559	2691	2114
560	2696	2109
561	2700	2104
562	2705	2099
563	2709	2094
564	2714	2089
565	2718	2084
566	2723	2079
567	2727	2074
568	2731	2068
569	2735	2063
570	2739	2058
571	2743	2053
572	2748	2047
573	2752	2042
574	2756	2037
575	2761	2032
576	2765	2027
577	2769	2022
578	2773	2016
579	2777	2011
580	2781	2006
581	2786	2000
