iter	Logloss
196	0.1202252679
197	0.1201809694
198	0.1201306703
199	0.1201176803
200	0.120086817
201	0.1200402102
202	0.1200091621
203	0.1199729316
204	0.1199335089
205	0.1198735163
206	0.1198553397
207	0.1198355432
208	0.1197737092
209	0.1197469452
210	0.1197105872
211	0.1196580024
212	0.1196059339
213	0.1195833484
214	0.1195585131
215	0.1195246856
216	0.119468728
217	0.1194246351
218	0.1193745612
219	0.1193418465
220	0.1192570012
221	0.1192113889
222	0.1191895978
223	0.1191250589
224	0.1190723567
225	0.1190322455
226	0.1189753851
227	0.1189157639
228	0.1188763514
229	0.1188405735
230	0.1187584595
231	0.1187486891
232	0.1187214011
233	0.1186552446
234	0.1186071223
235	0.1185779968
236	0.118516365
237	0.1185012821
238	0.1184552505
239	0.1184224831
240	0.1184020662
241	0.1183757395
242	0.1183555564
243	0.1183277322
244	0.1182452819
245	0.1181681769
246	0.1181044257
247	0.1180425661
248	0.1179884007
249	0.1179288125
250	0.1178657141
251	0.1178476863
252	0.1178010447
253	0.1177545739
254	0.1177139831
255	0.1176826198
256	0.1176303191
257	0.117581357
258	0.1175257392
259	0.1174718914
260	0.1174346485
261	0.1174053686
262	0.1173302077
263	0.1172667599
264	0.1172261839
265	0.1171758691
266	0.1171535165
267	0.1171098596
268	0.1170152034
269	0.1169414136
270	0.1169002962
271	0.116868242
272	0.1168342035
273	0.1167913867
274	0.1167636292
275	0.1167164825
276	0.1166545858
277	0.1166023794
278	0.1165573806
279	0.1165271361
280	0.1164489183
281	0.1164057873
282	0.1163690054
283	0.116284625
284	0.1162455855
285	0.1161935759
286	0.1161537913
287	0.1161283788
288	0.1160729407
289	0.1160252145
290	0.1159739301
291	0.1159479895
292	0.1159077357
293	0.1158760034
294	0.1158607119
295	0.1158127403
296	0.1157689906
297	0.1156599669
298	0.115585302
299	0.1155269098
300	0.1154583365
301	0.1154166579
302	0.1153683687
303	0.1153387811
304	0.1153068405
305	0.1152437927
306	0.1152040495
307	0.1151062834
308	0.1150856354
309	0.11506118
310	0.1150241592
311	0.1149862735
312	0.114912751
313	0.1148927881
314	0.1148806181
315	0.1148551906
316	0.1148258569
317	0.1148056891
318	0.1147399945
319	0.1146711034
320	0.1146459268
321	0.1145449249
322	0.114486572
323	0.1144288216
324	0.1143930202
325	0.1143493069
326	0.1143092271
327	0.1142624585
328	0.1141957527
329	0.1141209762
330	0.1140804962
331	0.114024445
332	0.1139582592
333	0.1139048349
334	0.1138518255
335	0.1137860139
336	0.1137657739
337	0.1137545155
338	0.1136825474
339	0.1135749458
340	0.1135173382
341	0.1134956751
342	0.1134337327
343	0.1134215528
344	0.1133761038
345	0.1133468003
346	0.1132638721
347	0.1131791017
348	0.1131403926
349	0.1130951358
350	0.1130151945
351	0.1129697016
352	0.1129274805
353	0.1128798233
354	0.1128373534
355	0.1127876339
356	0.1127690361
357	0.1127311461
358	0.1126446211
359	0.1126205144
360	0.1126093176
361	0.1125803754
362	0.1125210012
363	0.112451977
364	0.1124239689
365	0.1123806212
366	0.1123184953
367	0.1122603016
368	0.112213541
369	0.1121968032
370	0.1121528702
371	0.1121157409
372	0.112097151
373	0.1120633255
374	0.1120033258
375	0.1119635071
376	0.1118651932
377	0.1118219555
378	0.1117669022
379	0.1117537973
380	0.1116775325
381	0.1116587733
382	0.1116211732
383	0.1115784436
384	0.1115428554
385	0.1115330071
386	0.1114580413
387	0.1113953766
388	0.1113718383
389	0.1112747268
390	0.1112010641
391	0.1111705707
392	0.1111609294
393	0.1111149242
394	0.1110208859
395	0.1109330765
396	0.1108673445
397	0.1108173964
398	0.1107877704
399	0.1107506831
400	0.1107197912
401	0.1106777262
402	0.1106049253
403	0.1105212754
404	0.1104940058
405	0.1104773355
406	0.1104444988
407	0.1104355677
408	0.1103593227
409	0.110317905
410	0.1102900265
411	0.1102292106
412	0.1101721171
413	0.110130518
414	0.1100623762
415	0.1100087976
416	0.1100000053
417	0.1099233923
418	0.1098711656
419	0.1098377318
420	0.1097821946
421	0.1097334085
422	0.1096824031
423	0.1096570551
424	0.109647023
425	0.1096024569
426	0.1095689852
427	0.1095393107
428	0.1094904817
429	0.1094463256
430	0.1094383179
431	0.1093859147
432	0.1093548994
433	0.1092761882
434	0.1092312042
435	0.1091956623
436	0.1091607787
437	0.1091247441
438	0.1090965068
439	0.1090510886
440	0.1090187656
441	0.1089877719
442	0.1089734602
443	0.1089638951
444	0.1089336071
445	0.1089199834
446	0.1089107157
447	0.1088417422
448	0.1087937875
449	0.1087505827
450	0.1086898248
451	0.1086564346
452	0.1086435002
453	0.1086029096
454	0.108594055
455	0.1085564331
456	0.1085155975
457	0.108480612
458	0.1084326355
459	0.1083828756
460	0.1083592079
461	0.1083507098
462	0.1082865349
463	0.1082783207
464	0.1082642538
465	0.1082380482
466	0.1082059952
467	0.1081656697
468	0.1081240793
469	0.1081106416
470	0.1080819245
471	0.108054687
472	0.1080204668
473	0.1079809467
474	0.1079254134
475	0.1079187418
476	0.1078561439
477	0.1078301383
478	0.1078155758
479	0.1077617068
480	0.107721574
481	0.107682681
482	0.1076342786
483	0.107606129
484	0.1075659234
485	0.1075213111
486	0.1075135886
487	0.1074840857
488	0.1074603992
489	0.107431262
490	0.1074087207
491	0.1073905284
492	0.1073665153
493	0.1073601811
494	0.1073028772
495	0.1072955056
496	0.1072363851
497	0.1072088297
498	0.1071809778
499	0.1071695954
500	0.1071427606
501	0.1071044809
502	0.1070448861
503	0.1070378866
504	0.1070104887
505	0.1070036987
506	0.1069543828
507	0.1069484585
508	0.1069049242
509	0.1068655468
510	0.1068038826
511	0.1067728401
512	0.1067496662
513	0.1067158756
514	0.1067093403
515	0.1066742192
516	0.1066486207
517	0.1066350308
518	0.1066231397
519	0.1066004232
520	0.1065639747
521	0.1065583994
522	0.1065072142
523	0.1065018808
524	0.1064738601
525	0.1064256802
526	0.1063727798
527	0.1063479277
528	0.1063221
529	0.1062866698
530	0.1062395781
531	0.1061942355
532	0.1061622297
533	0.1061177214
534	0.106084318
535	0.1060413358
536	0.1060035857
537	0.1059801077
538	0.1059485796
539	0.1059126892
540	0.1058930808
541	0.105874385
542	0.1058487953
543	0.1058004811
544	0.105726728
545	0.1056858068
546	0.105664072
547	0.1056207438
548	0.1055798089
549	0.1055407927
550	0.1055135073
551	0.1054929942
552	0.1054659497
553	0.105433233
554	0.1053980072
555	0.1053785796
556	0.1053602852
557	0.1053538123
558	0.1053350803
559	0.1053123147
560	0.1052816956
561	0.1052496344
562	0.1052180932
563	0.105211856
564	0.1052058021
565	0.1051752369
566	0.1051505984
567	0.1051457239
568	0.1051068502
569	0.1050802359
570	0.1050500312
571	0.1050044665
572	0.1049634281
573	0.1049415919
574	0.1049228054
575	0.104891462
576	0.1048805033
577	0.1048378565
578	0.1048139676
579	0.1047855506
580	0.10477366
581	0.1047332784
582	0.1046907015
583	0.1046328179
584	0.1046030791
585	0.1045762766
586	0.1045291739
587	0.104493685
588	0.1044880717
589	0.1044210653
590	0.1043829781
591	0.1043644958
592	0.1043306549
593	0.1042842572
594	0.104216427
595	0.1041831435
596	0.1041414779
597	0.1041361836
598	0.1040590914
599	0.1040204955
600	0.1039437293
601	0.1038921055
602	0.1038528168
603	0.10382917
604	0.1038007723
605	0.1037134675
606	0.1036810114
607	0.1036345694
608	0.1036197011
609	0.1035379164
610	0.10346514
611	0.1034399207
612	0.1034103507
613	0.103377629
614	0.1033669845
615	0.1033351952
616	0.1033144235
617	0.103287938
618	0.1032657942
619	0.1032058871
620	0.1031702882
621	0.1031038826
622	0.1030855485
623	0.1030651009
624	0.1030232059
625	0.1030175093
626	0.1029925451
627	0.1029270345
628	0.1029171953
629	0.1028800553
630	0.1028670319
631	0.1028390298
632	0.1028101268
633	0.1027637461
634	0.1027346644
635	0.1027152927
636	0.1026951085
637	0.1026821685
638	0.1026600637
639	0.1026286886
640	0.1026037122
641	0.1025681057
642	0.1025555844
643	0.1025443153
644	0.1025353247
645	0.1025086201
646	0.1024816443
647	0.1024585566
648	0.1024263565
649	0.1024049484
650	0.1024007863
651	0.102392012
652	0.1023689002
653	0.1023565596
654	0.1023241173
655	0.1023096248
656	0.1022663377
657	0.1022456297
658	0.1022078355
659	0.1021883336
660	0.102154237
661	0.1021229826
662	0.1021030945
663	0.1020738297
664	0.102041723
665	0.1020217968
666	0.1019922782
667	0.1019677677
668	0.1019288371
669	0.1018766498
670	0.1018274386
671	0.1017522284
672	0.1016954293
673	0.1016393764
674	0.1016308385
675	0.1016091475
676	0.1015530974
677	0.1015248987
678	0.1015070044
679	0.1014562209
680	0.101425668
681	0.1014015506
682	0.1013810272
683	0.1013730219
684	0.1013518456
685	0.1013261478
686	0.101258781
687	0.1012033577
688	0.101158057
689	0.1011058337
690	0.1010834064
691	0.1010298562
692	0.1009775898
693	0.1009571409
694	0.1009387287
695	0.100892461
696	0.1008396785
697	0.1008210118
698	0.1007700695
699	0.1007400032
700	0.1007172927
701	0.1006761589
702	0.1006624268
703	0.1006454606
704	0.1006181257
705	0.1005793969
706	0.1005336543
707	0.1004973727
708	0.1004795416
709	0.1004283741
710	0.1003774801
711	0.1003648547
712	0.1003171046
713	0.1002832747
714	0.1002337379
715	0.1002192514
716	0.1002001217
717	0.1001766254
718	0.1001151565
719	0.1000840868
720	0.1000142093
721	0.1000090296
722	0.09999659391
723	0.09995038492
724	0.09990061145
725	0.09985437071
726	0.0998493742
727	0.09980226605
728	0.09978906409
729	0.09976202216
730	0.09974681625
731	0.0997420074
732	0.09968197824
733	0.09965270588
734	0.09960559019
735	0.0995489315
736	0.09953174134
737	0.09949834022
738	0.0994666947
739	0.09944813232
740	0.09939941782
741	0.09935485526
742	0.09933466348
743	0.0993185634
744	0.09927174529
745	0.09924034338
746	0.09921895537
747	0.0991971433
748	0.09918122284
749	0.09915508237
750	0.09911257879
751	0.09908806261
752	0.09907134327
753	0.09905396504
754	0.09900904676
755	0.09898248441
756	0.09895968319
757	0.09890717733
758	0.09889393729
759	0.09884966733
760	0.09882389254
761	0.0988201135
762	0.09880734321
763	0.09876420856
764	0.09870902313
765	0.09866819574
766	0.09862617394
767	0.09861086974
768	0.0985938374
769	0.09855106745
770	0.09850567788
771	0.09844966053
772	0.09844968317
773	0.09841734076
774	0.09837663732
775	0.0983720461
776	0.09833642885
777	0.09831599598
778	0.09826453908
779	0.09822408412
780	0.09820878338
781	0.09818244683
782	0.09815569676
783	0.09814389196
784	0.09809900547
785	0.09805638144
786	0.09804286872
787	0.09803842135
788	0.09801930187
789	0.09800216265
790	0.09797019794
791	0.09788320464
792	0.09786226495
793	0.0978074878
794	0.09776357178
795	0.0977181081
796	0.0976725583
797	0.09763208458
798	0.09761704406
799	0.09758282609
800	0.09753097722
801	0.0974626451
802	0.09745834612
803	0.09742437496
804	0.09740607397
805	0.0973936487
806	0.09733391613
807	0.09732646009
808	0.09731239697
809	0.09728011292
810	0.09724160177
811	0.09721306401
812	0.09716636673
813	0.09712323174
814	0.09710922864
815	0.09708584199
816	0.0970661263
817	0.09699962809
818	0.09697371919
819	0.09695914302
820	0.09694317431
821	0.09690009517
822	0.09681975823
823	0.09674385915
824	0.0967038863
825	0.09666844166
826	0.09665547061
827	0.09658434962
828	0.0965604896
829	0.09651575444
830	0.09646913549
831	0.09641758237
832	0.09640618304
833	0.09638564285
834	0.09637257126
835	0.09635004641
836	0.09628791072
837	0.09625797551
838	0.09624532274
839	0.09620708941
840	0.09619447738
841	0.09614575693
842	0.09609683082
843	0.09608479938
844	0.09606376013
845	0.09602979189
846	0.09597793911
847	0.09595680913
848	0.09594533353
849	0.09591081178
850	0.09587257153
851	0.09585202895
852	0.09582848986
853	0.09577913552
854	0.09572919939
855	0.09568834193
856	0.09564808077
857	0.09562612925
858	0.0955716004
859	0.09553098134
860	0.09550725275
861	0.09546697923
862	0.09541797958
863	0.09540225479
864	0.09538950129
865	0.09538539613
866	0.09537434693
867	0.09535162431
868	0.09530104398
869	0.09528054407
870	0.0952293096
871	0.09520935966
872	0.09516685563
873	0.09513822147
874	0.09508288913
875	0.0950724346
876	0.09504615591
877	0.09502522875
878	0.09496366149
879	0.09495975159
880	0.09495630715
881	0.09493361321
882	0.09492290533
883	0.09490193777
884	0.09489296256
885	0.09482513498
886	0.0947867868
887	0.09474699658
888	0.09473748627
889	0.09469194105
890	0.09466562636
891	0.09465549797
892	0.09460994322
893	0.09459830832
894	0.09458482299
895	0.09453594011
896	0.09451621895
897	0.09448130397
898	0.09448131764
899	0.09446666551
900	0.09445818847
901	0.09444521981
902	0.09442215885
903	0.09441250566
904	0.09440893249
905	0.09439820252
906	0.09435157087
907	0.09430834577
908	0.0943044482
909	0.09430334902
910	0.09429293552
911	0.09429292299
912	0.09425600981
913	0.0942402407
914	0.09419047346
915	0.09414542251
916	0.09409891607
917	0.09405036688
918	0.09404113305
919	0.09402648581
920	0.09399821761
921	0.09399587978
922	0.09398670145
923	0.09394137628
924	0.09394134322
925	0.09389920604
926	0.0938705697
927	0.09384458919
928	0.09383570379
929	0.09378272313
930	0.0937499309
931	0.09368721053
932	0.0936791165
933	0.09362036197
934	0.09360080563
935	0.09356601107
936	0.0935327328
937	0.09350892766
938	0.09346727712
939	0.09341257056
940	0.09340378242
941	0.09338333235
942	0.09333306553
943	0.09330024494
944	0.09328389978
945	0.09322367341
946	0.09320227689
947	0.0931544614
948	0.09314817006
949	0.09312890077
950	0.09311818375
951	0.0930941439
952	0.09307739104
953	0.09304244935
954	0.09301671772
955	0.09297787104
956	0.09292895622
957	0.09288986499
958	0.09286536738
959	0.09283419002
960	0.09282522578
961	0.09281743482
962	0.09279183881
963	0.09276293272
964	0.09271773304
965	0.09267666584
966	0.09265059074
967	0.09264120784
968	0.09262540627
969	0.0926042592
970	0.09259678519
971	0.09256393569
972	0.09253354176
973	0.09251694504
974	0.09249155433
975	0.09246528174
976	0.0923860977
977	0.09238607714
978	0.09235814318
979	0.09235811539
980	0.0923286095
981	0.09229003414
982	0.09226813008
983	0.09224342817
984	0.09221933365
985	0.09220341377
986	0.09216061466
987	0.09213140653
988	0.09208643521
989	0.09204773803
990	0.09196576356
991	0.09192070175
992	0.09187106634
993	0.09184704116
994	0.09183569369
995	0.09180527527
996	0.0917981737
997	0.09179060265
998	0.09176924539
999	0.0917316798
